country_code,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,population
DJI,Djibouti,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,58,59,1136455
DMA,Dominica,503,501,498,496,493,491,488,486,484,481,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,73040
DOM,Dominican Republic,15949,16326,16704,17082,17459,17837,18214,18592,18970,19347,19725,19825,19926,20027,20127,20228,20329,20429,20530,20631,20731,20792,20853,20914,20975,21037,21117,21198,21279,21360,21441,21522,11332972
ECU,Ecuador,146322,145420,144519,143617,142715,141814,140912,140010,139108,138207,137305,136603,135900,135198,134496,133793,133091,132389,131687,130984,130282,129864,129446,129028,128610,128192,127549,126906,126264,125621,124978,124336,18190484
EGY,Egypt,438,454,469,484,500,515,531,546,561,577,592,599,605,611,618,624,631,637,644,650,656,622,588,553,519,484,450,450,450,450,450,450,112716598
SLV,El Salvador,7189,7144,7099,7054,7009,6964,6919,6874,6829,6784,6739,6694,6649,6604,6559,6514,6469,6424,6379,6334,6289,6244,6199,6154,6109,6064,6019,5974,5929,5884,5839,5794,6364943
GNQ,Equatorial Guinea,26992,26908,26824,26741,26657,26574,26490,26407,26323,26239,26156,26072,25989,25905,25822,25738,25654,25571,25487,25404,25320,25237,25153,25069,24986,24902,24819,24735,24651,24568,24484,24401,1714671
ERI,Eritrea,11406,11406,11406,11406,11374,11343,11311,11279,11248,11216,11185,11153,11121,11090,11058,11027,10995,10963,10932,10900,10869,10837,10805,10774,10742,10711,10679,10647,10616,10584,10553,10521,3748901
EST,Estonia,22125,22125,22125,22158,22191,22224,22257,22290,22323,22356,22389,22486,22583,22680,22777,22875,22972,23069,23166,23263,23360,23530,23700,23870,24040,24210,24213,24384,24384,24384,24384,24384,1322765
SWZ,Eswatini,4611,4624,4636,4648,4660,4672,4684,4696,4709,4721,4733,4745,4757,4769,4781,4794,4806,4818,4830,4842,4854,4866,4879,4891,4903,4915,4927,4939,4951,4964,4976,4988,1210822
ETH,Ethiopia,204086,203324,202562,190395,189665,188935,188205,187475,186745,186015,185285,184555,183825,183095,182365,181635,180905,180175,179445,178715,177985,177255,176525,175795,175065,174335,173605,172875,172145,171415,170685,169955,126527060
FRO,Faroe Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53270
FJI,Fiji,9397,9464,9530,9597,9664,9731,9798,9864,9931,9998,10065,10131,10198,10265,10332,10399,10465,10532,10599,10666,10732,10799,10866,10933,10999,11066,11133,11200,11267,11333,11400,11467,936375
FIN,Finland,218753,219324,219894,220464,221035,221605,222175,222745,223316,223886,224456,224253,224049,223845,223642,223438,223235,223031,222827,222624,222420,222754,223088,223422,223756,224090,224090,224090,224090,224090,224090,224090,5545475
FRA,France,144360,145212,146064,146916,147768,148620,149472,150324,151176,152028,152880,154011,155142,156273,157404,158535,159666,160797,161928,163059,164190,165024,165858,166692,167526,168360,169194,170028,170862,171696,172530,173364,64756584
PYF,French Polynesia,1444,1448,1453,1457,1461,1465,1469,1473,1477,1481,1486,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,308872
GAB,Gabon,237616,237555,237493,237431,237370,237308,237246,237185,237123,237062,237000,236949,236899,236848,236798,236747,236696,236646,236595,236545,236494,236375,236256,236138,236019,235900,235781,235662,235544,235425,235306,235187,2436566
GMB,Gambia,4147,4089,4032,3975,3917,3860,3803,3745,3688,3631,3573,3516,3459,3401,3344,3287,3229,3172,3115,3057,3000,2943,2885,2828,2771,2713,2656,2599,2541,2484,2427,2369,2773168
GEO,Georgia,27540,27540,27540,27548,27556,27565,27573,27581,27589,27598,27606,27668,27730,27791,27853,27915,27977,28039,28100,28162,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,3728282
DEU,Germany,113000,113054,113108,113162,113216,113270,113324,113378,113432,113486,113540,113595,113650,113705,113760,113815,113870,113925,113980,114035,114090,114110,114130,114150,114170,114190,114190,114190,114190,114190,114190,114190,83294633
GHA,Ghana,99243,98167,97091,96016,94940,93864,92789,91713,90637,89562,88486,87580,86675,85769,84863,83958,83052,82146,81241,80335,79429,79304,79179,79054,78929,78804,79222,79640,79713,79785,79857,79929,34121985
GIB,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32688
GRC,Greece,32986,33287,33589,33891,34192,34494,34796,35097,35399,35701,36002,36304,36605,36907,37209,37510,37812,38113,38415,38716,39018,39018,39018,39018,39018,39018,39018,39018,39018,39018,39018,39018,10341277
GRL,Greenland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56643
GRD,Grenada,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,126183
GUM,Guam,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,242,244,246,248,250,280,280,280,280,280,280,172952
GTM,Guatemala,47812,47240,46668,46096,45524,44952,44380,43808,43236,42664,42092,41605,41119,40632,40146,39659,39172,38686,38199,37713,37226,36952,36679,36405,36132,35858,35742,35626,35510,35394,35278,35162,18092026
GIN,Guinea,72760,72413,72066,71719,71372,71025,70678,70331,69984,69637,69290,68930,68570,68210,67850,67490,67130,66770,66410,66050,65690,65330,64970,64610,64250,63890,63490,63090,62690,62290,61890,61490,14190612
GNB,Guinea-Bissau,22333,22249,22164,22080,21996,21911,21827,21742,21658,21573,21489,21404,21320,21235,21151,21067,20982,20898,20813,20729,20644,20560,20475,20391,20307,20222,20138,20053,19969,19885,19800,19716,2150842
GUY,Guyana,186022,185984,185946,185908,185870,185832,185794,185756,185718,185680,185642,185598,185553,185509,185465,185420,185376,185331,185287,185243,185198,185081,184964,184847,184731,184614,184522,184430,184338,184245,184153,184061,813834
HTI,Haiti,3829,3827,3825,3822,3820,3818,3816,3813,3811,3809,3807,3804,3802,3800,3797,3795,3793,3791,3788,3786,3784,3753,3722,3691,3660,3629,3597,3566,3535,3504,3473,3442,11724763
HND,Honduras,69878,69668,69459,69249,69040,68830,68621,68411,68202,67992,67783,67580,67377,67174,66972,66769,66566,66363,66160,65958,65755,65531,65308,65085,64862,64638,64431,64221,64012,63802,63593,63383,10593798
HUN,Hungary,18139,18246,18354,18461,18568,18675,18783,18890,18997,19104,19212,19337,19462,19587,19713,19838,19963,20088,20213,20339,20464,20493,20522,20550,20579,20608,20587,20573,20559,20545,20530,20516,10156239
ISL,Iceland,171,183,196,209,222,235,247,260,273,286,298,313,328,343,358,373,387,402,417,432,447,454,461,468,475,482,487,494,500,507,514,520,375318
IND,India,639380,643033,646686,650339,653992,657645,661298,664951,668604,672257,675910,677815,679720,681625,683530,685435,687340,689245,691150,693055,694960,697624,700288,702952,705616,708280,710944,713608,716272,718936,721600,724264,1428627663
IDN,Indonesia,1185450,1168185,1150920,1133655,1116390,1099125,1081860,1064595,1047330,1030065,1012800,1011179,1009558,1007938,1006317,1004696,1003075,1001454,999834,998213,996592,987329,978067,968804,959542,950279,952718,939498,933443,927387,921332,915277,277534122
IRN,Iran,90761,91010,91260,91509,91759,92009,92258,92508,92757,93007,93257,94623,95989,97356,98722,100088,101455,102821,104187,105553,106920,106920,106920,106920,106920,106920,107021,107106,107270,107435,107519,107656,89172767
IRQ,Iraq,8040,8054,8068,8082,8096,8110,8124,8138,8152,8166,8180,8187,8194,8201,8208,8215,8222,8229,8236,8243,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,45504560
IRL,Ireland,4616,4785,4954,5123,5291,5460,5629,5797,5966,6135,6304,6394,6484,6574,6664,6754,6844,6934,7024,7114,7204,7272,7341,7410,7478,7547,7624,7700,7740,7780,7820,7860,5056935
IMN,Isle of Man,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,84710
ISR,Israel,1320,1341,1362,1383,1404,1425,1446,1467,1488,1509,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1562,1584,1606,1628,1650,1400,1400,1400,1400,1400,1400,9174520
ITA,Italy,75898,76677,77457,78236,79016,79795,80575,81354,82134,82913,83693,84351,85010,85669,86328,86986,87645,88304,88963,89622,90280,90818,91357,91895,92433,92971,93509,94047,94585,95123,95661,96199,58870762
JAM,Jamaica,5213,5213,5212,5212,5212,5211,5211,5211,5211,5210,5210,5247,5285,5322,5360,5397,5435,5472,5510,5547,5585,5623,5661,5699,5737,5775,5813,5852,5891,5930,5969,6008,2825544
JPN,Japan,249500,249426,249352,249278,249204,249130,249056,248982,248908,248834,248760,248850,248940,249030,249120,249210,249300,249390,249480,249570,249660,249616,249572,249528,249484,249440,249400,249350,249350,249350,249350,249350,123294513
JOR,Jordan,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,11337052
KAZ,Kazakhstan,31612,31612,31612,31606,31601,31596,31591,31585,31580,31575,31569,31495,31420,31345,31270,31196,31121,31046,30971,30897,30822,31274,31727,32179,32632,33085,33377,33670,33962,34254,34547,34839,19606633
KEN,Kenya,38585,38688,38791,38893,38996,39099,39201,39304,39407,39509,39612,39267,38922,38577,38233,37888,37543,37198,36853,36508,36163,35976,35788,35600,35412,35224,35520,35815,36111,36111,36111,36111,55100586
KIR,Kiribati,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,133515
PRK,North Korea,69120,68663,68206,67748,67291,66834,66376,65919,65462,65004,64547,64335,64122,63910,63698,63485,63273,63061,62849,62636,62424,62212,61999,61787,61575,61362,61150,60938,60726,60513,60301,60089,26160821
KOR,South Korea,65510,65435,65360,65285,65210,65135,65060,64985,64910,64835,64760,64671,64582,64493,64404,64315,64226,64137,64048,63959,63870,63770,63670,63570,63470,63370,63250,63170,63070,62970,62870,62770,51784059
KWT,Kuwait,35,36,37,39,40,42,43,44,46,47,49,50,51,53,54,56,57,58,60,61,63,63,63,63,63,63,63,63,63,63,63,63,4310108
KGZ,Kyrgyzstan,11453,11453,11453,11498,11542,11587,11631,11676,11720,11765,11809,11858,11907,11955,12004,12053,12102,12150,12199,12248,12297,12341,12385,12430,12474,12518,12562,12607,12789,12971,13154,13336,6735347
LAO,Laos,178430,178012,177594,177176,176758,176340,175922,175504,175086,174668,174250,173766,173281,172797,172312,171828,171343,170859,170374,169890,169405,169060,168715,168370,168025,167680,167335,166990,166645,166300,165955,165610,7633779
LVA,Latvia,31866,31866,31866,31934,32002,32070,32138,32206,32274,32342,32410,32541,32672,32803,32934,33066,33197,33328,33459,33590,33721,33760,33798,33837,33876,33914,33953,33992,34031,34069,34108,34147,1830211
LBN,Lebanon,1397,1395,1394,1392,1391,1389,1388,1386,1385,1383,1382,1381,1380,1379,1378,1378,1377,1376,1375,1374,1374,1379,1385,1391,1397,1403,1409,1415,1421,1427,1433,1439,5353930
LSO,Lesotho,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,2330318
LBR,Liberia,85252,84950,84647,84345,84042,83739,83437,83134,82832,82529,82226,81924,81621,81319,81016,80713,80411,80108,79806,79503,79200,78898,78595,78293,77990,77687,77385,77082,76780,76477,76174,75872,5418377
LBY,Libya,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,6888388
LIE,Liechtenstein,65,65,65,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,39584
LTU,Lithuania,19600,19600,19600,19675,19750,19825,19900,19975,20050,20125,20200,20350,20500,20650,20800,20950,21100,21250,21400,21550,21700,21734,21768,21802,21836,21870,21900,21960,21980,22000,22010,22027,2718352
LUX,Luxembourg,867,867,867,867,867,867,867,867,867,867,867,869,871,873,875,877,879,881,883,885,887,887,887,887,887,887,887,887,887,887,887,887,654768
MDG,Madagascar,136935,136272,135609,134946,134283,133621,132958,132295,131632,130969,130307,129838,129369,128901,128432,127963,127495,127026,126557,126088,125620,125488,125355,125223,125091,124959,124827,124695,124562,124430,124298,124166,30325732
MWI,Malawi,35017,34597,34177,33757,33337,32917,32497,32077,31657,31237,30817,30397,29977,29557,29137,28717,28297,27877,27457,27037,26617,26197,25777,25357,24937,24517,24097,23677,23257,22837,22417,21997,20931751
MYS,Malaysia,206185,205258,204331,203404,202476,201549,200622,199695,198768,197841,196914,196170,195426,194682,193939,193195,192451,191708,190964,190220,189477,190510,191543,192576,193609,194642,193146,192645,192143,191642,191140,190639,34308525
MDV,Maldives,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,521021
MLI,Mali,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,132960,23293698
MLT,Malta,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,535064
MHL,Marshall Islands,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,41996
MRT,Mauritania,4760,4706,4652,4597,4543,4488,4434,4380,4325,4271,4216,4162,4108,4053,3999,3944,3890,3836,3781,3727,3672,3618,3564,3509,3455,3400,3346,3292,3237,3183,3128,3074,4862989
MUS,Mauritius,411,412,412,413,414,415,416,417,418,418,419,416,412,409,405,402,398,395,391,387,384,384,384,383,383,383,383,387,387,387,388,388,1300557
MEX,Mexico,705917,703706,701496,699286,697075,694865,692655,690444,688234,686024,683814,682375,680937,679499,678061,676623,675185,673747,672309,670871,669433,668208,666984,665759,664534,663309,662032,660754,659476,658199,656921,655643,128455567
FSM,Micronesia,636,636,636,637,637,637,637,638,638,638,639,639,639,639,640,640,640,640,641,641,641,642,642,642,642,643,643,643,644,644,644,645,115224
MDA,Moldova,3292,3292,3292,3311,3330,3349,3368,3387,3406,3425,3444,3474,3504,3534,3564,3595,3625,3655,3685,3715,3745,3769,3793,3816,3840,3864,3865,3865,3865,3865,3865,3865,3435931
MNG,Mongolia,143520,143432,143344,143256,143168,143080,142991,142903,142815,142727,142639,142559,142479,142399,142319,142239,142159,142079,141999,141919,141839,141828,141817,141806,141794,141783,141772,141761,141750,141739,141728,141717,3447157
MNE,Montenegro,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7667,7868,8069,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,8270,626485
MAR,Morocco,54853,54874,54895,54917,54938,54959,54980,55002,55023,55044,55065,55233,55401,55569,55738,55906,56074,56242,56410,56578,56746,56766,56786,56806,56827,56847,56998,57116,57216,57321,57425,57530,37840044
MOZ,Mozambique,433780,431590,429400,427210,425020,422830,420640,418450,416260,414070,411880,409664,407448,405232,403017,400801,398585,396369,394153,391937,389721,387657,385593,383529,381464,379400,376283,374066,372242,369661,367438,364976,33897354
MMR,Myanmar,392185,387834,383484,379134,374783,370433,366083,361732,357382,353031,348681,345254,341827,338400,334973,331546,328118,324691,321264,317837,314410,311513,308616,305719,302822,299924,297027,294130,291233,288336,285439,282542,54577997
